string_value,Category
AA-IT's Andre Bantillo provided me assistance with getting a new AA laptop up and running.  I was having difficulty getting Connect to connect.  Andre was very professional.  He listened to my concerns.  He efficiently got Connect restarted.  Thank you,Others
I am very satisfied with the help I received from Help Desk Service.,Others
I did not request to change my password at 3:30am. How did someone else change my password when callers are supposed to be authenticated? Did someone give the last 4 of my social? This inconvenienced my day.  because someone else changed my password without my knowledge.,Others
She was patient / knowledgeable /polite / and got me back to work quickly thank U,Others
"Rep was very helpful, quick and effecient.",Others
I don't understand why this happen to my laptop.  It would be great to understand if it is the end user or something else.,Others
Prompt response time and resolution.,Others
very helpful call,Others
"Needed the resolution of problem in real time as it was impacting patient care, got a call after 28 hrs",Others
"quick, friendly, solved my issue",Others
problem solved quickly,Others
"She was helpful and knew what she was doing. Also pleasant and friendly.
Thanks for your help. :-)",Others
"Rep was great!  He not only fixed my problem, he was kind and didn't make me feel dumb for being flummoxed by technology.  I really appreciate it!",Others
The problem is NOT solved,Others
"THE IT SPECIALIST WAS KNOWLEDGEABLE, LISTENED CAREFULLY, AND EXECUTED HIS KNOWLEDGE.  WHEN HE DIDN'T KNOW HE REACHED OUT TO THE PERSON/PERSON WHO DID..",Others
Excellent service.,Others
Quick responsiveness and helpfulness to resolve issues.,Others
I need you all in IT so I can perform my job. THank you!!!,Others
Directions given were clear and concise and worked to fix the issue.  My colleague was patient and pleasant while we got the laptop up and running again.,Others
The tech was helpful and took care of the issue,Others
did not resolve the problem,Others
best IT tech ever,Others
calm and good result,Others
"prompt, fixed it",Others
REp resolved my issue and explained things as he went. Thanks !,Others
All computer functions were restored while I was away from my desk.  Done well!,Others
"HelpDesk is consistently helpful, professional and prompt. He'll work the problem until its resolved.",Others
Support  went above and beyond to solve my login dilemma! Thank You!,Others
It was very easy to understand the instruction.,Others
Quick and easy,Others
Problem was resolved quickly,Others
Problem solved quickly and courteously.,Others
App was upgraded and the IT person had no idea how to fix the problem.,Others
"It took an hour and a half to get the guy with the code up here.  Some communication would've been nice so I could expect when this would be fixed.  Until then, the room was pretty useless",Others
resolved the issue,Others
Hareg pointed out how to fix the problem. I learned something new that I can use in the future!,Others
Able to help of my need.,Others
service tech (Michael?) was very patient.,Others
"Fast, flawless, and altogether incredible service!",Others
my issue with health connect was resolved quickly. Rep was great,Others
That was OUTSTANDING customer service---they really saved the day!,Others
Rep was very polite and helpful resolving my Health Connect problem,Others
It was communicated to me that they were going to figure it out... and it was figured out.,Others
"After changing computer password, issues with logging on since I work from home. Bill was extremely helpful and was a pleasure to work with on a Monday morning :)",Others
"Professional and cheerful. Quickly able to address my question and identify new solutions.  Our IT department always rocks!!!  
Thanks :-)",Others
The person that assisted me was efficient and knowledgeable.,Others
Orlando contacted me minutes after I submitted the service request and fixed my issue.,Others
Solved issue,Others
Very helpful!,Others
Very professional and courteous and resolved my issue quickly.,Others
Very efficient.  Tech came in same day and a new phone replaced within a couple days.  Great customer service.  Thank you!,Others
I had no problem with the help at all,Others
Joe was very helpful and got me back to work quickly.  Much appreciated!,Others
locked out of my computer,Others
friendly and helpful and solved my issue,Others
"Rep was exceptionally helpful. The most helpful service desk experience I have ever have. Please give him a raise - competent, kind, helpful, and quick!",Others
My issue was resolved quickly after connecting to an IT specialist.,Others
fast and had good answers for my question. I only give 9/10 because I think the actual putting in a ticket leaves a fair amount to be desired. But I'm probably just being picky. I got a solution and things work now so I'm happy,Others
"REpt contacted me promptly, fixed my laptop in a reasonable amount of time, and explained the problem and resolution. Thanks!",Others
"helpful, nice, and knowledgeable",Others
Very helpful,Others
great customer service and prompt response.,Others
Itwas such a quick and easy fix. Tech reached out via Teams and we resolved in just a couple moments. Perfect solution for my busy calendar!,Others
The callback function meant I didn't have to waste 20 minutes on hold. The service desk employee was knowledgeable and effective.,Others
Friendly and easy to work with,Others
Issue was identified while on call addressing another item. Tech was able to quickly assist and resolve.,Others
quick resolution,Others
Agent was immediately on my request.,Others
got the job done,Others
the person helped me patiently,Others
Rep was very patient and helpful!,Others
Quick response from the IT team; all were very courteous,Others
No resolution.  Just cancelled ticket because the rep couldn't reach me by cell phone?  Out of service?! I just called my cell phone with no issues. He could have used a different method to reach out to me if my cell phone was not working.  Maybe CHATS?   Terrible,Others
"Problem was resolved quickly and efficiently, great communication with updates to the status of our request.",Others
He fixed my issue very fast!,Others
Bob was very kind and helpful!,Others
Response time was excellent. Issue was resolved quickly and efficiently.,Others
The process was esy and quickly resolved.,Others
New App upgrade for inputting post op vitals and fluids in anesthesia note,Others
"Friendly, helpful and did the best they could to resolve the issue",Others
helpful and responsive service,Others
I didn't actually need help - i had called because I wasn't connecting to AA network from 1950 Franklin - but then it connected just as the IT tech answered the call.,Others
IT very knowledgeable,Others
Auth App,Others
"There is no fix for the docking hub that keeps breaking down.  When I remove the laptop to take to a different location - even if I don't turn on the laptop, I cannot reconnect without the docking hub breaking down.  person said it wouldn't help.  when the hub is down, my efficiency goes down.  There is not enough screen space on the laptop to do charting.",Others
IT representative was patient.,Others
"I am very happy my laptop is fixed, IT staff was very patient and helpful",Others
Rep was very helpful!,Others
"When rep rcv'd my ticket, he called to verify what I needed & explained the process for my request. I really appreciated the ph call.",Others
ITAlways goes on beyond of duty to help!  She always provides excellent service !,Others
Rep has been very patient and helpful in resolving the issue.,Others
"friendly, fast, informative, thanks Michael!",Others
Issue not actually resolved..,Others
"Very helpful, knew what needed to be done and fixed problems in a timely manner.",Others
"friendly, fast and efficient",Others
good service,Others
Problem was quickly solved,Others
The update or change that was done was not needed the way it was before was fine and worked perfect. and the decision tree should never ever be a part of health care. the rep that helped me was good and very helpful.,Others
"Very knowledgably, very helpful and very courteous and efficient",Others
"Rusty was very kind, and efficient.",Others
phone person created incident noting the incorrect issue. IT on site came and did not resolve issue bc it was noted incorrectly but didn't even ask me what the problem was to confirm.,Others
Quick and helpful,Others
IT Tech knew exactly what i was referring to and fixed it the same day!!!!,Others
my issue was resolved by a friendly and knowledgeable individual=),Others
"My issue was marked as resolved prematurely. When submitting my concern, I noted there were days where the issue didn't occur and the first day the issue didn't occur after IT getting involved, my case was marked as ""self-resolved"" and now it's happening again but I have to start from square 1 again. Incredibly frustrating - they didn't even do anything.",Others
The technician was very helpful and the issue was resolved quickly,Others
Ab  was very patient and resolved my IT issue. Thank you,Others
"The two people I spoke to were great! both polite and listened to my problem; however, the problem I have wasn't fixed.",Others
Issue was not resolved,Others
while I did not like the answer I received -- the person who delivered it was awesome - very helpful!!,Others
"The entire team from the manager to the technician, was responsive and knowledgeable.",Others
"Quick, efficient, friendly",Others
good fast service,Others
Very helpful representative.,Others
"Friendly, polite, professional and efficient staff.  Thank you!",Others
He was very helpful and resolved my issues in a few mins.,Others
"timely service, completely fixed issue",Others
Effective and efficient.,Others
 Very very disappointed.,Others
The IT representative was very thorough and very personable.  He was awesome!!,Others
Patient and gave extra attention to details.,Others
quick and efficient,Others
this agent was the first one that was able to assist me with finally getting the connection going with my Aruba device after hours of struggle. It was the end of his shift and within the allotted time he had left- I was treated with patience and empathy and easily we talked and walked through my issues until we reached a resolution. I was very grateful! he is an asset to the I.T team for AA/Aruba devices.,Others
Adam was the bomb.. thank you!,Others
I had help very fast and straight to the point. I'm am so grateful for the help,Others
Amy was super helpful and prompt.,Others
"IT support showed up pretty quickly. Everything was checked-wire connections were unplugged, checked for damage and reconnected; cash drawer checked for signs of damage or obstruction. Nothing significant found. However, ever since then, the problem has not occurred. Thank you",Others
IT explained what was happening and next steps;Issue was resolved,Others
IT responded promptly and presented great customer service.,Others
"courteous, knowledgeable. Very good resource of information needed for my role.",Others
Super-fast and efficient service.,Others
excellent service,Others
Efficient fast service.,Others
Person I spoke was helpful with guiding me step by step,Others
they solved the issue very quickly,Others
"Prompt response, clear instructions for next steps",Others
The technician was prompt and courteous and worked around me in the small space of my office.,Others
very helpful and quick,Others
Answered quickly and was very patient with me while I tried to figure out my Global Protect issue,Others
Quick resolution,Others
"The person who I spoke to was very friendly, knowledgeable, and polite.  It made a stressful situation much less stressful.",Others
Efficient and throrough,Others
Rep was very helpful and solved my problem!,Others
REp was able to close the chart within a minute!,Others
I realize that there are a million applications and systems that you support. But you should have a solid person/team to reach out to or provide some sort of handoff to. I was basically told to figure it out with your resources ;(,Others
he diagnosed it quickly and provided an effective solution right away.  excellent work.,Others
I believe we need Health Connect problem solvers 24/7.,Others
She was so very helpful and friendly and respectful. She is awesome!,Others
helped me resolve all of my issues quickly,Others
Very professional/knowledgeable,Others
quick and efficient,Others
good experience,Others
My ticket was kind of placed in error in that I did not know that my laptop needed to connected to the docking station for everything to work.  IT was very helpful  in quickly helping me set up my monitors and answering questions!,Others
Joe was very attentive. Thank you.,Others
Very helpful and quick to get me back on the computer.,Others
"very efficient help and even though I had a simple question, I was treated with respect and professionalism with the IT agent's guidance. thanks again!",Others
quick response and resolution,Others
"prompt and patient, problem addressed",Others
"My service and all questioned were answered ..it was very important for me to review my reports in an efficient way, and she made it possible for me, thank you.",Others
He was very helpful in solving my problem and he was very patient with me.,Others
Very nice and quick to respond and help,Others
Very friendly and helpful. Same day quick service.,Others
Quick and efficient.,Others
Prompt and helpful service.  Jose Robillos is always great!  Thank you!!,Others
"My interaction with the IT person (I forgot their name, sorry) was great! I appreciated their patience and kindness, it made for easier beginning of my day (which can be stressful being new!) Thank you!",Others
the technician was very helpful.,Others
Requested online and it was done without any issues. very efficent,Others
"The It person who took the call was really nice, efficient and fixed the issue, she even went above and beyond and helped me with another issue I was having with the computer as well!",Others
Rep was great she told me what to do right away but the first guy messed up my hyperspace so I am waiting on someone to fix it.,Others
Rep was top notch.  Went through everything with me and was very helpful.,Others
Rep was very efficient.  Very helpful. Excellent customer service,Others
"Excellent and fast, knowledgeable service. Thank you!",Others
Issue was addressed/resolved swiftly,Others
He was thorough and helpful resolving issue I had with App. Thank you,Others
I liked that the IT rep was helpful and resolved the issue,Others
I received excellent service from Nate and he resolved my issue and I was able to return to my work,Others
He was very helpful and very pleasant..,Others
the IT was very helpful and it helped solved my issue.,Others
This process was very fast and efficient. Thank you so much!,Others
was able to resolve issue. and very kind and helpful. stood on the phone till my password was rest and worked for me.,Others
Its was resolved fast,Others
Service was very prompt which is much appreciated,Others
Help Desk Analyst was very helpful and patient in solving my outlook calendar issue.  Went in and cleaned it out and made sure it was working properly.  Was happy he resolved my issue.  thank you.,Others
Efficient service.,Others
"They were not able to expedite my request despite the need to terminate former employee access to his mobile phone. Unfortunately, the added step of specifically terminating mobile device accounts was not outlined or even mentioned on termination page, training or process",Others
excellent service,Others
quick and easy,Others
HD rep was very knowledgeable and prompt in resolving my login issue.,Others
resolved my issue very fast!,Others
Steve was very friendly and helpful,Others
THE SERVICE REP WAS VERY PATIENT AND KNOWLEDGABLE,Others
"The representative that helped me, was very knowledgeable and knew exactly what to do to fix my problem. ",Others
My issue was resolved quickly in one call.,Others
both I.T. representatives were helpful and friendly,Others
The copier was fixed in a timely manner,Others
Rep was super nice and patient with us. Thank you!! It ended up being such an easy and simple fix. :),Others
The Service Help desk analyst was professional and courteous.  She managed to resolved my expense issue.,Others
"Fast, efficient service",Others
"Rep was great, not only did he resolve my issue, but he actually taught me what the problem was and what I needed to do to resolve it myself!  Thanks Rep!",Others
Great support from both the individuals who helped me.  The process was quick and easy.,Others
Excellent service,Others
"The fast service, he came out the same day the ticket was put in",Others
"I was asking for some help with PowerPoint. In the past, Iâ€™ve called with similar questions, and the techs have been able to help me. This time the person gave me a long list of things they cannot do, but did not help me problem solve the reason I called. They asked me to go talk to my colleagues who are all doctors to help me instead. Iâ€™m sure my colleagues could help me with medical consultations, but Iâ€™m not sure they could help me with PowerPoint. That is why I called Tech Services in the first place. Did not get anything achieved and wasted 30 minutes of time. Most frustrating!",Others
"Abner was very helpful, responsive and friendly! Thank you Abner!",Others
"Friendly, efficient, effective service! Thank you!",Others
He was very knowledgeable.,Others
"Overall, my experience is a 10. We didn't get the situation resolved, but David did everything he could to try and help me.",Others
"My technician was so knowledgeable, helpful and showed much patience. I was in dire need for assistance.. he did not hesitate and knew how to troubleshoot an issue I had been dealing with all morning. Thank you!!",Others
a kind/patient technician who successfully had me working production from home,Others
He was patient (something that not everyone has) and able to provide fast help.,Others
He was very patient with me,Others
Not only effectively resolved the issue but also delivered service with quality.,Others
Rep is great! He responds quickly and is knowledgeable. Truly appreciate the assistance.,Others
Nick is great,Others
"Excellent, friendly service!",Others
Rep took it a step further to provide scenarios,Others
Quick response time and first time fix.,Others
"Jim has been professional, quick and pleasant",Others
Rep was great at communicating the issue and fixing it.,Others
tech was great as always.,Others
The IT support person who helped me was super helpful and had a great attitude!!! She deserves a raise!!! :),Others
Issue resolved in a timely manner,Others
Very Prompt and efficient response.,Others
I was provided prompt and quick assistance. My problem was solved right away.,Others
very helpful. thanks!,Others
"Rep was very helpful, he took care of the problem.",Others
Rep was awesome!!! So helpful!!!!,Others
"Staff that helped me very patient, responsive and very helpful",Others
Orsy listened to what my issue was and reinstalled the program very quickly and the issue has been fixed.,Others
Andrew is always quick to help! Thanks so much!,Others
Fast resolution from SR ticket submission to completion with follow-up email from IT for confirmation.,Others
The staff answered and provided guidance.,Others
The service representative was very sincere in their attempt to resolve the concern,Others
"She was excellent very patience and knowledgeable and she fixed my laptop very quickly, great service.",Others
Problem was fixed.,Others
"IT support technician was helpful, knowledgeable, and completed the request in a very timely manner.  Much appreciated.",Others
"IT tech was patient and courteous. How ever, It ridiculous that I have to wait one month to get access to App, we have to have a better process than this. Very frustrating.",Others
"ticket created and closed  no discussion,  not remedied   - msg back to sender",Others
Mark was very helpful and was able to get every application setup on the system,Others
good services,Others
My request for a report was based on another TEO analyst providing report. This tech simply stated I can just look through each expense report one by one to find what I was looking for.,Others
Assisted with issue in a timely manner and also was very informative,Others
"Quick, efficient, kind service",Others
appreciate how responsive Julius has been with me getting a new computer and all the issues I had with the transition.  I so appreciate that working with IT wasn't an additional hassle.,Others
Mike was super helpful and resolved my issue quickly!,Others
"Leticia was Pleasant, answered all my questions, very very helpful. Apperciated the help",Others
"Service received was quick, professional, and servicer was very pleasant.",Others
Great service!,Others
"Didn't have to wait long, and Thomas knew exactly what to do and solved my issue quickly.  Many thanks!",Others
"quick efficient and resolved the issue, very helpful and positive",Others
My request was resolved immediately. Shawn Murphy took care of the replacement laptop right away. Thank you so much.,Others
their patient and kindness,Others
Great IT team!,Others
got the answer from the service tech.,Others
Their patient and kindness,Others
Because it is my rating.,Others
Timely solution to issue.  Felt supported well.,Others
locked out of system,Others
"Item needing repair is used throughout the day, it was handled efficiently and in a timely manner.",Others
"the helper was very pleasant and polite, and helped me!",Others
Quick response and resolution. Nate was friendly and very helpful.,Others
Great job well done,Others
Excellent service.,Others
Big Mahalo to rep! He got it fixed within seconds.,Others
Always pleasant and helpful.,Others
excellent,Others
fast fix,Others
he worked the problem until he found a resolution.,Others
"Knowledgeable, not a long wait time",Others
Kind and patient IT person.  Thank you so much!,Others
Rep is knowledgeable and great to work with.  Thank you to Charise for facilitating. I deeply appreciate the IT support team at AA SB!,Others
He helped me fix the problem very quickly,Others
The women helping me with my new iPhone 14 was very creative and helped me remove some mistakes I had made trying to set myself up on the new iPhone.  She was patient and made sure ALL my questions were answered.,Others
Support was very patient and knowledgeable.,Others
Bell follow up and make sure that all works and resolved.,Others
Very helpful; quick to respond to my request; very knowledgeable.,Others
She was very patient and helped me troubleshoot the problem that I was experiencing.,Others
"Swift answer time, the technician was immediately knowledgeable about how to resolve my issue, which was resolved very quickly.",Others
he was able to take care of issue in one call.,Others
fast efficient problem solved,Others
Michael was awesome to work with. He was VERY knowledgeable about the error codes and was able to resolve the issue very quickly. I had spoken with two previous technicians who were not able to resolve the issue.,Others
He's friendly and knowledgeable.,Others
IT representative was able to solve my issue quickly...,Others
My issue was dealt with in a timely and efficient manner. The Tech was patient and followed up with me to ensure everything was satisfactory.,Others
They resolved easily the matter.,Others
Vic was so knowledgeable about what steps to take to get this issue resolved.  He systematically took me step by step through his troubleshooting procedures until I was able to get up and running again.  Great professional IT representative!,Others
He was very calm and talked me through this very stressful ordeal because I was running late for Virtual visits..,Others
Easy to access and fixed my problem.,Others
issue resolved in a timely manner with a professional attitude,Others
good customer service.  Only issue is that I needed help with AAHC before 7 am.,Others
Excellent customer service and got results fast.,Others
"1st person the phone connection was bad and when he tried Teams nothing was heard on the call.
2nd person couldn't resolve the issue and created an incident report for a local IT to help.  
Ended up figuring it out myself!",Others
Great service,Others
problem got fixed in a timely fashion and Rep was very polite and knowledgably,Others
The first person was not able to help but put in ticket to App help. They called back shortly after 0800 when opened and helped me solve my issue immediately. Service member very polite.,Others
professional and efficient,Others
Friendly and quick resolution to the issue at hand.,Others
The IT staff was fast and knowledgeable.,Others
The technician heard my problem and quickly fixed it.,Others
He knew what the problem was right away.  Told me it should be fixed by the end of the day and it was resolved within minutes.  Appreciate the service.,Others
"IT was SUPER patient with me, informative/knowledgeable. Greatly appreciate his time!",Others
"Chris responded quickly, and resolved the problem in less than a minute. Outstanding service. Thank you!",Others
"Excellent quick service, resolved my issue in less than 5-10 mins.",Others
Helpful and understanding,Others
"Prompt, professional, knowledgeable, polite, thorough. Great job!",Others
transfer Auth App from old cell phone to new cell phone,Others
Quick and efficient,Others
"IT personnel member was very helpful, professional, and resolved my problem right away.",Others
"Tim helped me quickly and efficiently get a new device registered to Connect so that work can continue uninterrupted  - thanks, Tim!!",Others
"Fast, friendly help.",Others
friendly and helpful and taught me what to do in the future if the same problem comes up - thx!,Others
Jean,Others
IT was so helpful and calm to walk me through.,Others
"Rep was efficient, friendly and courteous.",Others
"Quick, competent, and friendly resolution. Thank you!",Others
The time it took to resolve my problem was 4 minutes.,Others
"Received quick, personalized assistance that resolved my issue right away. Could have tried to explain it on the phone, but instead showed me in-person how to resolve the issue. Much appreciated!",Others
he was kind and trying to get up back on computer since i work with pts and the dr was waiting for me,Others
Orlando is awesome and his help was efficient and quick.,Others
IT support person was efficient and polite. Great customer service!,Others
"Ashley is amazing, she responds quickly and always resolves any issues I have",Others
thank you for getting me back on teams and trying over and over until it happened thank you Leticia.,Others
Prompt answer and solution to some of my issues.,Others
Kulwant was prompt and he was able to take care of the problem in a jiffy.,Others
fast service,Others
the person helping me was perfect,Others
the IT person was very helpful,Others
Very fast and direct help via teams chat instead of through long email conversation. Very helpful.,Others
clear and straightforward answers to my questions,Others
One of our patients is having an issue with her AA My Chart. I contacted IT and spoke with Charmaine.  She was very personable and gave me the contact information needed to help our patient.,Others
helpful and pleasant,Others
To help with the set up of Jabber,Others
"Call connected super quick, call resolution was super quick.  End to end my IT issue was resolved in less than 5 minutes and I was up and running.",Others
 He was friendly and helpful and knowledgeable.  ,Others
"Fast response with friendly, helpful service",Others
"The website is complicated and hard to fill tickets. When I enter the AM number for the computer that we have on the floor, it always says number not found.  Also, if APIC is not turning on I put ticket for the software problem, and it is asking me to put software name and there million options. I can't find APIC on that list. I have to leave the note explaining what doesn't work. It isn't user friendly.  
Also, updating home AA home page doesn't help. I like to keep all tabs on the same place. When it is updated, it takes extra time to learn new way to fill a ticket. Sorry for the complaint. I just prefer to see all table on the same place to save time. Thank you.",Others
"IT responded very quickly! My printer hard drive was replaced and reset, and the issue was resolved about an hour after I placed the ticket.  Very Impressive. THANKS!",Others
Very knowledgeable and concern was resolved very quickly. Wonderful service!!,Others
quick response time and easy to work with,Others
"This was a Teams issue - super frustrating but since does not appear to be a feedback loop to the tool team and they have not historically shown they care about user concerns this feedback is reflected in the support ticket.  Also, even though I opened a WO, apparently I could not actually have my issue addressed until I also called in for assistance - this is inefficient and again frustrating.  The technician was unable to resolve my issue but was kind and had sympathy for the problem caused by MS Teams and it's overall issues, worse since the ""new Teams"" rollout.",Others
"Prompt, knowledgeable staff.",Others
great service!,Others
Very bad experience ,Others
"Amazing service, helped patiently hear me out, understand the problem, identify the solution and helped me provide a fix to allow me to start working again. Saved me a vist to the hardware team at office and got me working again. Thanks a lot for your help!",Others
"Representative was courteous, prompt and knowledgeable.",Others
Chris was very helpful with my PC technology issue and went above and beyond.,Others
Gary took care of my problem immediately!,Others
Ashley was here in a jiffy and installed what I needed so so quickly!,Others
Hernan was very clear and thorough in his approach to resolving my ongoing issue. He was the first person I have spoken with that correctly identified my issue on the first try. I am very grateful for his assistance.,Others
"Efficient, polite",Others
"Quick, courteous and issue resolved.",Others
We contacted help desk for ePIMS assistance with multiple station failure of Biometric devices 3-19-2024. Their attempt to resolve was not acceptable. Multiple attempts that day were slow and unproductive. We were required to wait several hours and resolution for some stations carried over into the following day.,Others
"Worked with me until problem was resolved, friendly, very helpful. Thank you!",Others
Service Representative was very professional.  She demonstrated strong analytical skills and a high degree of articulation and was able to quickly get my application working once again.  Very much appreciated.  Thank you!,Others
quick resolution,Others
Trevel kept Me informed of the status of my request and completed in a timely manner.,Others
"staff was kind, efficient and fast",Others
"The help I received today was fast, he was friendly, and I didn't need to have the issue routed to another group and wait for their research and resolution.",Others
excellent response by staff member. knowledgeable & easy to work with,Others
This IT person Emile fixed my issue in record time..I needed to be on a conference call with cameras on and was able to attend successfully. My problem was fixed.,Others
He finally deciding to remote in on my computer to see what I was explaining and found that the encounter screen was expanded out and the little arrow to right needed clicked on to bring the screen to the left,Others
Support person was very professional and knowledgeable.,Others
quick answering services,Others
Tim is helpful and accommodating.,Others
The rep who assisted me was soo helpful and was very clear about what was happening. Made the issue seem as though it wasn't. Great job!,Others
Andy was so awesome and efficient and fixed my computer problems very quickly.,Others
The tech was able to help me in a VERY short amount of time. He saved my workday b/c I probably would have tried to fix this issue on my own for the rest of the day.,Others
Help and calm approach making sure I understood everything.  Problem solved.,Others
"Louis listened, went on-line to see my concern, answered my question.  He was polite, professional and pleasant.",Others
did not find service desk particularly friendly or helpful,agent_unprofessional
He did not understand what i was asking for and refused to enter a ticket for asg cdas epims wps.,agent_unprofessional
her manners were very condescending.,agent_unprofessional
"When the phone guy finally came, he was rude, argumentative, insisting we had moved the equipment and disconnected the fax from the phone line and did not want to listen to our explanation",agent_unprofessional
the technician was not listening she was talking over me and would not let me finish what was the problem,agent_unprofessional
keith has horrible customer service and was very rude!!!,agent_unprofessional
i felt like the service rep was not patient enough to explain what the issue was and how i can prevent it from happening again.,agent_unprofessional
the service desk support agent was rude and was not patient.,agent_unprofessional
my issue was not resolved and the person i spoke to was argumentative and unhelpful.,agent_unprofessional
please do not use words such as angry to describe persons.,agent_unprofessional
i was irritated of course but i never expressed rage or anger.,agent_unprofessional
"i thought that noon, i believe was his name was a bit rude and short with me this morning.",agent_unprofessional
i am very disappointed at the tech i spoke to before!,agent_unprofessional
she told me excuse me while i change my  headset and the phone disconnected and i never received a call back!,agent_unprofessional
that was rude so i had to spend more time from my work calling back and being put on hold!,agent_unprofessional
He was very unprofessional,agent_unprofessional
on 1/17/21 i encountered bad experience with tech support who was impatient and unprofessional.,agent_unprofessional
person was not very patient.,agent_unprofessional
he was in a such rush to get me off the phone.,agent_unprofessional
not professional at all.,agent_unprofessional
the support rep was very dismissive and argumentative.,agent_unprofessional
"not good bedside manners and seemed like he just wanted to be ridden of ticket and assumed i knew exactly what to do next, when i am not familiar with what is needed to fix my problem.",agent_unprofessional
bad service.,agent_unprofessional
"if you don't mind, i'd like to suggest the technician needs a little bit of people skill improvement.",agent_unprofessional
tone of it technician was unprofessional and dismissive.,agent_unprofessional
terrible it support.,agent_unprofessional
its very horrible or unpleasant.,agent_unprofessional
was awful.,agent_unprofessional
short & rude with me.,agent_unprofessional
he was very unhelpful and made me wish i hadn't even called in for it help.,agent_unprofessional
rep seemed to have been bothered that i had 15 accounts that i needed to reset.,agent_unprofessional
support person did not give me a chance to answer the chat or clarify my request.,agent_unprofessional
very poor service.,agent_unprofessional
"the first two, ernest and adrianna didn't seem interested in helping or didn't know how to.",agent_unprofessional
"amy, the virtual tech made me feel like i didn't belong to AA because i work in wa.",agent_unprofessional
"kept on getting cut off as i was trying to explain the situation, did not feel heard as the solution presented was the opposite of the reason why i called in the first place.",agent_unprofessional
i got a rep that gave false information and had a bad attitude during the call.,agent_unprofessional
she eventually hung up the phone very abruptly.,agent_unprofessional
she was very rude.,agent_unprofessional
she made me feel like questions were unwelcomed and made it very hard to get help.,agent_unprofessional
she presented an attitude of reluctantly helping and that i was bothering her for asking for help.,agent_unprofessional
this kind of attitude should not be encouraged.,agent_unprofessional
very rude.,agent_unprofessional
"i do understand that it gets busy, but that is no way of treating others.",agent_unprofessional
i really wish that the  technicians listen to our concerns.,agent_unprofessional
but it is terrible when they won't listen or  i feel like i am being accused of doing something wrong  that is causing this problem.,agent_unprofessional
unfortunately he did not answer my question or assist me.,agent_unprofessional
He was not very enthusiastic and could work on his phone personality.,agent_unprofessional
he just sounded like he hates his job.,agent_unprofessional
he fixed it but was sounded really deflated for whatever reason.,agent_unprofessional
there was a point where i heard eye rolling.,agent_unprofessional
felt a bit judged.,agent_unprofessional
the staff was not patient or understanding.,agent_unprofessional
i felt that i was burdening him with my issue.,agent_unprofessional
the it service agent did not have a good disposition.,agent_unprofessional
he seemed as though he did not want to be at work.,agent_unprofessional
(maybe the monday blues) however its very off putting.,agent_unprofessional
"seems unwilling to help, not friendly",agent_unprofessional
"the tech to support a driver installation, completely ignored a follow up question and ended the session abruptly then edited my comments to show resolution of the ticket.",agent_unprofessional
you definitely need nicer people in it.,agent_unprofessional
there's been a significant change in friendliness since changing to AA.,agent_unprofessional
it was obvious that he was distracted and attending to something else.,agent_unprofessional
"i was set up for the helpdesk to call me back, if he wasn't ready to help me then he shouldn't have put himself on phone ready.",agent_unprofessional
i believe this turned my call into a 5min call vs what could have been a 1 min call.,agent_unprofessional
there is a lot of non urgency in the service they provide.,agent_unprofessional
the person who assisted me should monitor his tone and the way he communicates with people.,agent_unprofessional
didn't appear to be friendly.,agent_unprofessional
the service desk representative was very rude.,agent_unprofessional
she made me feel belittled.,agent_unprofessional
